iso,region_dev,region_ar6_6,pop,pop_density,forest_pct,gdp,gdppc,summer_vpd,pop_forest,hvi,log_vpd,log_pdforest,log_hvi,damage,damage_gdp_weighted,weights
AFG,ldc,APC,19262847.0,29.533825491007775,0.0185278199408184,6007188510.66862,311.853617000053,30.27017721571071,7051.9866413247955,0.6679999999999999,3.4101629775196516,8.861064649205828,-0.40346710529579083,507607120.4533937,8.44999486118832,32.79596977329975
ALB,developed,DEV,2970017.0,108.3947810218978,0.2840288321167883,10677324852.88222,3595.03829536404,14.707669824792834,244378.68429405295,0.27,2.6883691145123723,12.406474286003222,-1.3093333196133918,493823977.7654103,4.624978490114105,17.178841309823678
ARG,developing,LAM,39398481.75,14.396399208532936,0.11650424422386163,369132785037.0717,8935.00646466453,14.856472061004409,57229.08673701367,0.2534614361702127,2.6984355993334224,10.954817557509157,-1.3725435926899197,977785160.9243873,0.33648850132409636,12.025188916876575
AUS,developed,DEV,19940797.416666668,2.5953333714787257,0.172161350856569,665182198131.5216,30850.7032317859,22.56451113623983,24830.621290074032,0.10057995495495488,3.1163783683573696,10.119832899940045,-2.296802295097089,699277108.5947068,0.1393862321113995,17.178841309823678
BEN,ldc,AFR,10308730.0,91.42186945725436,0.3090768002837886,12517845123.931507,1214.29556540248,19.05661608275755,193097.6700044124,0.48,2.9474143422151036,12.17095140207976,-0.7339691748718671,511605483.0668534,4.087009209666371,32.79596977329975
BGR,developed,DEV,7523957.5,68.60281300127008,0.3324359944662081,48643741645.059975,6920.301989033909,14.291871634195516,157971.94376988566,0.23999999999999996,2.659690958473439,11.97017272516482,-1.4271163552234791,270975493.70967805,0.4175410935938623,17.178841309823678
BOL,developing,LAM,10411125.714285715,9.610565599820655,0.4875816490617293,23846120820.48902,2135.9484101722524,11.41068197399673,26090.204553948945,0.3353662613981762,2.434549931947323,10.169315218420047,-1.0925320264888143,666724142.4833282,3.924889193935205,12.025188916876575
BRA,developing,LAM,192634579.5,23.047541618111207,0.62972625488446,1236465114752.9907,6150.8737259316895,10.836386511994377,60596.38023243365,0.2814999999999999,2.3829095928460715,11.011990438135314,-1.2676228310471525,33168816196.454765,1.8064901181174762,12.025188916876575
BRN,developing,APC,320152.0,60.74990512333966,0.759392789373814,4051142386.302119,12653.8093977302,6.4517836383655265,122318.8443419796,0.1989999999999999,1.8643566256748825,11.71438639273277,-1.6144504537551325,3591000.0,0.08864166345132746,12.025188916876575
BTN,ldc,APC,570990.0,14.346482412060302,0.6522793969849247,399311199.5077599,699.331335938913,4.089457539959813,187581.0076816592,0.592,1.4084123304662475,12.141966072058626,-0.5242486439292124,6149000.0,1.5399017126441765,32.79596977329975
CAN,developed,DEV,31541462.5,3.5229128900801268,0.38823204596864014,987653753078.5223,29728.158847562678,6.67734211014291,25100.952725409632,0.11271771771771766,1.8987200206820576,10.130661081587158,-2.1828686580683065,1507786753.8078263,0.19564098515754186,17.178841309823678
CHL,developing,LAM,16994572.35714286,22.856544650590504,0.2274580102614471,187285624892.85834,10447.223896185153,7.8667574953791926,49544.329792656354,0.232620820668693,2.0626459693322903,10.810623099156707,-1.4583455297106347,473753108.4585494,0.3696562574651873,12.025188916876575
CHN,developing,APC,1247557500.0,132.88534388959746,0.19694045149975678,4895043282735.111,3558.4605806935406,10.645846510911618,317962.0059035215,0.3366409574468085,2.3651698171200133,12.669687176333401,-1.08873832445315,2550874597.752789,0.0911689495649099,12.025188916876575
COD,ldc,AFR,69772797.66666667,30.776911698756823,0.5979475823941539,26043933365.039196,365.6826566070113,9.579209894854666,83790.18121081674,0.5623333333333332,2.259595114150947,11.336071110283319,-0.5756604849264482,625965779.7752016,2.443585787735685,32.79596977329975
COL,developing,LAM,41261584.75,37.18935083370888,0.5593083708877873,181957384869.0092,4144.5683468486,6.547177797995843,118971.71016232924,0.3085,1.8790340862760673,11.68664101410315,-1.1760334353125454,725903019.6119771,0.547576919579347,12.025188916876575
CRI,developing,LAM,3321939.0,65.05951821386604,0.5674430082256169,8564041916.152756,2578.02503783265,6.969684829856135,250721.83844248403,0.3259999999999999,1.941570005666296,12.432099390214862,-1.1208578973086811,500669134.3784606,5.846177999597851,12.025188916876575
CUB,developing,LAM,11070094.0,103.07350093109868,0.2232122905027933,28364615200.00003,2562.27410535087,10.233195447375325,186016.5855738699,0.3149999999999999,2.325636891646185,12.13359111847194,-1.155182639839044,512319041.7683216,1.8061906997713157,12.025188916876575
CYP,developed,DEV,1244188.0,134.65238095238095,0.1866991341991342,40741985843.625,32745.84375,18.91620681084419,159193.11900474827,0.1039999999999999,2.9400190578443093,11.977873329126325,-2.263364378879227,50761000.0,0.1245913741044184,17.178841309823678
DOM,developing,LAM,9164768.0,189.70747257296625,0.4187114469054026,35777560683.936615,3903.8152066628,7.508987116758597,498248.5819647751,0.3259999999999999,2.01610058542292,13.118854392039431,-1.1208578973086811,506088034.00462174,1.4145403552675542,12.025188916876575
DZA,developing,AFR,39181050.4,16.45059458590583,0.00782881207295252,146197909395.52826,3576.043864868586,40.56585550932372,18311.260260486644,0.3178255319148936,3.7029267154662215,9.815271464381688,-1.1462526882233572,1518589109.715054,2.272545505946089,12.025188916876575
