"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.3108893004","","","","","","","","","","87.35285803815","","","","","","","","","","","","","","","97.34080781558","","","","","","","",
"Africa Eastern and Southern","AFE","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35883.6113262375","","","","","","","","","","47545.0687305638","","","","","","","","","","","","","","","63984.1243767853","","","","","","","",
"Afghanistan","AFG","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1309.672466805","","","","","","","","","","2280.088881826","","","","","","","","","","","","","","","3993.83610705","","","","","","","",
"Africa Western and Central","AFW","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30308.5662748931","","","","","","","","","","38443.6872190038","","","","","","","","","","","","","","","51046.987690028","","","","","","","",
"Angola","AGO","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1559.94768115246","","","","","","","","","","2010.4416603827","","","","","","","","","","","","","","","2991.3469865533","","","","","","","",
"Albania","ALB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","596.86092547715","","","","","","","","","","790.05473415509","","","","","","","","","","","","","","","827.69395654173","","","","","","","",
"Andorra","AND","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0436834805","","","","","","","","","","31.854123801","","","","","","","","","","","","","","","30.9358154312","","","","","","","",
"Arab World","ARB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47990.206198227","","","","","","","","","","60338.9136733551","","","","","","","","","","","","","","","76974.6325607486","","","","","","","",
"United Arab Emirates","ARE","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1060.873607515","","","","","","","","","","1386.317341611","","","","","","","","","","","","","","","2263.10504571","","","","","","","",
"Argentina","ARG","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8570.4179461242","","","","","","","","","","10030.146186676","","","","","","","","","","","","","","","11432.7305610191","","","","","","","",
