iso,region_dev,region_ar6_6,year,hdi,gdi,healthindex,incindex,edindex,lifexp,esch,msch,lgnic
AFG,ldc,APC,1990,0.273,,0.399,0.497,0.102,45.967,2.504,0.971,7.895
AFG,ldc,APC,1991,0.279,,0.41,0.472,0.112,46.663,2.807,1.019,7.73
AFG,ldc,APC,1992,0.287,,0.425,0.457,0.122,47.596,3.109,1.068,7.63
AFG,ldc,APC,1993,0.297,,0.484,0.412,0.132,51.466,3.412,1.116,7.33
AFG,ldc,APC,1994,0.292,,0.485,0.361,0.142,51.495,3.714,1.164,6.992
AFG,ldc,APC,1995,0.31,,0.501,0.392,0.152,52.544,4.017,1.212,7.2
AFG,ldc,APC,1996,0.319,,0.511,0.391,0.162,53.243,4.319,1.251,7.195
AFG,ldc,APC,1997,0.323,,0.517,0.379,0.171,53.634,4.622,1.29,7.115
AFG,ldc,APC,1998,0.324,,0.507,0.369,0.181,52.943,4.924,1.33,7.047
AFG,ldc,APC,1999,0.332,,0.536,0.358,0.191,54.846,5.227,1.369,6.977
AFG,ldc,APC,2000,0.335,0.515,0.543,0.346,0.201,55.298,5.529,1.408,6.893
AFG,ldc,APC,2001,0.337,0.504,0.551,0.331,0.211,55.798,5.832,1.465,6.796
AFG,ldc,APC,2002,0.362,0.549,0.561,0.384,0.221,56.454,6.134,1.523,7.145
AFG,ldc,APC,2003,0.376,0.563,0.575,0.399,0.231,57.345,6.437,1.58,7.245
AFG,ldc,APC,2004,0.392,0.522,0.584,0.397,0.26,57.944,7.394,1.637,7.233
AFG,ldc,APC,2005,0.4,0.541,0.59,0.402,0.269,58.361,7.66,1.695,7.269
AFG,ldc,APC,2006,0.409,0.56,0.595,0.411,0.279,58.684,7.927,1.777,7.326
AFG,ldc,APC,2007,0.424,0.587,0.602,0.438,0.29,59.111,8.193,1.859,7.502
AFG,ldc,APC,2008,0.43,0.594,0.613,0.433,0.3,59.852,8.46,1.941,7.469
AFG,ldc,APC,2009,0.44,0.609,0.621,0.444,0.31,60.364,8.727,2.023,7.541
AFG,ldc,APC,2010,0.448,0.627,0.628,0.448,0.32,60.851,9.003,2.105,7.57
AFG,ldc,APC,2011,0.456,0.642,0.637,0.452,0.33,61.419,9.279,2.157,7.601
AFG,ldc,APC,2012,0.466,0.649,0.645,0.462,0.34,61.923,9.577,2.209,7.662
AFG,ldc,APC,2013,0.474,0.659,0.653,0.466,0.35,62.417,9.876,2.262,7.693
AFG,ldc,APC,2014,0.479,0.63,0.655,0.465,0.36,62.545,10.174,2.314,7.686
AFG,ldc,APC,2015,0.478,0.673,0.656,0.46,0.362,62.659,10.18,2.366,7.65
AFG,ldc,APC,2016,0.481,0.682,0.664,0.458,0.365,63.136,10.186,2.464,7.639
AFG,ldc,APC,2017,0.482,0.703,0.662,0.459,0.368,63.016,10.192,2.561,7.643
AFG,ldc,APC,2018,0.483,0.71,0.663,0.457,0.372,63.081,10.198,2.659,7.628
AFG,ldc,APC,2019,0.488,0.712,0.67,0.46,0.377,63.565,10.264,2.757,7.649
AFG,ldc,APC,2020,0.483,0.689,0.655,0.452,0.38,62.575,10.264,2.855,7.6
AFG,ldc,APC,2021,0.478,0.681,0.646,0.439,0.385,61.982,10.264,2.985,7.509
AGO,ldc,AFR,1999,0.364,,0.391,0.538,0.23,45.386,4.207,3.394,8.167
AGO,ldc,AFR,2000,0.375,,0.4,0.545,0.242,46.024,4.61,3.425,8.214
AGO,ldc,AFR,2001,0.386,,0.409,0.553,0.255,46.591,5.012,3.464,8.269
AGO,ldc,AFR,2002,0.403,,0.421,0.58,0.267,47.387,5.415,3.504,8.447
AGO,ldc,AFR,2003,0.42,,0.456,0.581,0.28,49.617,5.817,3.545,8.452
AGO,ldc,AFR,2004,0.433,,0.471,0.589,0.292,50.592,6.22,3.585,8.503
AGO,ldc,AFR,2005,0.447,,0.486,0.602,0.305,51.57,6.622,3.626,8.592
AGO,ldc,AFR,2006,0.459,,0.498,0.61,0.317,52.369,7.024,3.666,8.643
AGO,ldc,AFR,2007,0.475,,0.518,0.627,0.33,53.642,7.427,3.707,8.758
AGO,ldc,AFR,2008,0.486,,0.533,0.63,0.342,54.633,7.829,3.748,8.778
AGO,ldc,AFR,2009,0.5,,0.55,0.642,0.355,55.752,8.232,3.788,8.854
AGO,ldc,AFR,2010,0.51,,0.565,0.64,0.367,56.726,8.634,3.829,8.841
AGO,ldc,AFR,2011,0.526,,0.578,0.639,0.395,57.596,9.56,3.869,8.837
AGO,ldc,AFR,2012,0.541,,0.594,0.648,0.41,58.623,10.083,3.91,8.893
AGO,ldc,AFR,2013,0.552,,0.605,0.652,0.426,59.307,10.605,3.95,8.92
AGO,ldc,AFR,2014,0.563,0.884,0.616,0.656,0.442,60.04,11.127,3.991,8.95
AGO,ldc,AFR,2015,0.582,0.893,0.625,0.655,0.48,60.655,11.65,4.704,8.943
AGO,ldc,AFR,2016,0.596,0.9,0.632,0.646,0.519,61.092,12.172,5.417,8.88
AGO,ldc,AFR,2017,0.597,0.9,0.641,0.639,0.519,61.68,12.172,5.417,8.834
AGO,ldc,AFR,2018,0.595,0.903,0.648,0.628,0.519,62.144,12.172,5.417,8.761
AGO,ldc,AFR,2019,0.595,0.902,0.653,0.621,0.519,62.448,12.172,5.417,8.713
AGO,ldc,AFR,2020,0.59,0.904,0.65,0.608,0.519,62.261,12.172,5.417,8.629
AGO,ldc,AFR,2021,0.586,0.903,0.641,0.604,0.519,61.643,12.172,5.417,8.606
ALB,developed,DEV,1990,0.647,,0.818,0.583,0.567,73.144,11.603,7.355,8.464
ALB,developed,DEV,1991,0.629,,0.821,0.531,0.572,73.378,11.764,7.353,8.119
ALB,developed,DEV,1992,0.614,,0.826,0.518,0.541,73.715,10.664,7.351,8.033
ALB,developed,DEV,1993,0.617,,0.83,0.539,0.526,73.939,10.127,7.349,8.172
ALB,developed,DEV,1994,0.624,,0.833,0.555,0.525,74.131,10.091,7.347,8.279
ALB,developed,DEV,1995,0.634,,0.836,0.578,0.527,74.362,10.166,7.345,8.43
ALB,developed,DEV,1996,0.645,,0.84,0.592,0.538,74.592,10.228,7.627,8.526
ALB,developed,DEV,1997,0.642,,0.829,0.575,0.555,73.904,10.505,7.909,8.411
ALB,developed,DEV,1998,0.657,,0.846,0.589,0.569,74.99,10.669,8.191,8.508
ALB,developed,DEV,1999,0.669,,0.849,0.608,0.579,75.183,10.685,8.472,8.63
ALB,developed,DEV,2000,0.677,0.929,0.852,0.62,0.586,75.404,10.589,8.754,8.71
ALB,developed,DEV,2001,0.684,0.933,0.856,0.634,0.591,75.639,10.684,8.824,8.802
ALB,developed,DEV,2002,0.689,0.934,0.86,0.64,0.594,75.89,10.702,8.888,8.842
ALB,developed,DEV,2003,0.696,0.936,0.864,0.649,0.601,76.142,10.905,8.953,8.901
ALB,developed,DEV,2004,0.7,0.938,0.867,0.657,0.603,76.376,10.885,9.018,8.956
ALB,developed,DEV,2005,0.711,0.94,0.871,0.666,0.62,76.621,11.419,9.083,9.012
ALB,developed,DEV,2006,0.718,0.943,0.874,0.677,0.627,76.816,11.582,9.147,9.084
ALB,developed,DEV,2007,0.73,0.947,0.885,0.686,0.639,77.549,11.964,9.212,9.148
ALB,developed,DEV,2008,0.736,0.949,0.887,0.695,0.646,77.653,12.125,9.277,9.207
ALB,developed,DEV,2009,0.741,0.951,0.889,0.698,0.656,77.781,12.264,9.452,9.226
ALB,developed,DEV,2010,0.754,0.96,0.891,0.705,0.682,77.936,13.0,9.627,9.273
ALB,developed,DEV,2011,0.766,0.964,0.894,0.711,0.709,78.092,13.748,9.802,9.311
